subband index,frequency (Hz),Avg Error %,Min Error %,Max Error %,Avg Error,Min Error,Max Error,Min Out,Max Out,Min Ref,Max Ref,Shift,Range Size %,Ref Range,Avg Err/Range,Min Err/Range,Max Err/Range
120,2.34E+07,2.3485,0.000133071,24.2957,4138.87,0.234375,68034.8,113152,440320,125596,502614,37369,86.77781963,377018,1.097791087,0.0000621654669,18.04550446
121,2.36E+07,1.9274,0.000173739,16.9455,3252.84,0.3125,45416.2,115200,331776,123405,375088,25758.5,86.05110397,251683,1.292435325,0.0001241641271,18.04500105
122,2.38E+07,2.20746,8.31E-05,17.2037,3844.35,0.15625,45952.7,116224,331776,121565,374754,24159.5,85.13482023,253189,1.518371651,0.00006171279163,18.14956416
123,2.40E+07,1.95105,0.000154404,17.2926,3284.79,0.265625,45337,116224,325632,123093,365556,23396.5,86.36699208,242463,1.354759283,0.0001095527977,18.69852307
124,2.42E+07,1.90598,0.000177428,15.4496,3151.36,0.3125,41259,118272,303104,120307,339928,19429.5,84.15952937,219621,1.434908319,0.0001422905824,18.78645485
125,2.44E+07,1.798,8.57E-05,16.0083,2924.73,0.15625,39794,114688,299008,116848,336754,19953,83.81763117,219906,1.329990996,0.00007105308632,18.09591371
126,2.46E+07,2.28717,0.00112751,32.6642,4068.52,1.98438,85553.9,107520,505856,123371,587314,48654.5,85.85882317,463943,0.8769439349,0.0004277206467,18.44060585
127,2.48E+07,1.78242,0.000115756,14.8115,2913.49,0.171875,37881.3,114688,286720,117380,321487,18729.5,84.28520335,204107,1.42743267,0.00008420828291,18.55953005
128,2.50E+07,11.2018,0.000618386,203.099,48568.2,2.40625,1.69E+06,-352256,6.91E+06,169410,8.56E+06,1082643,8.66E+01,8388260,0.5790020815,0.00002868592533,2.01E+01
129,2.52E+07,2.32186,0.000195626,24.0626,4163.67,0.390625,71819.2,120832,452608,124651,520450,35830.5,83.8243654,395799,1.051965771,0.00009869277083,18.14537177
130,2.54E+07,1.63425,0.000223796,11.9834,2654.19,0.3125,30542.1,118272,253952,117589,281327,13346,82.86408775,163738,1.62099818,0.0001908536809,18.65303106
131,2.56E+07,1.59059,0.000239227,12.5179,2553.45,0.289062,31582.6,114688,253952,115488,284522,15685,82.3881586,169034,1.510613249,0.0001710081995,18.68417005
132,2.58E+07,1.75862,0.000321239,12.0729,2809.07,0.4375,32201.1,117248,248832,116811,275280,13005.5,83.03453672,158469,1.772630609,0.0002760792332,20.3201257
